Name,Price,Description,Warnings,Category 1,Category 2,Category 3,Language
Locoid Cream 0.1%,28.0,Binabawasan ang pamamaga at pangangati na nauugnay sa mga kondisyon ng balat.,Para sa panlabas na paggamit lamang. Huwag gamitin sa sirang balat. Kumunsulta sa doktor kung lumala ang kondisyon o hindi bumuti pagkatapos ng ilang araw.,Pangangalaga sa Balat,Pamamaga/Iritasyon,Cream/Ointment,Tagalog
Vibramycin Doxycycline Monohydrate,33.5,Ginagamot ang mga impeksiyon ng bakterya.,Inumin ayon sa direksyon ng iyong doktor. Kumpletuhin ang buong kurso ng paggamot. Maaaring magdulot ng photosensitivity. Gumamit ng sunscreen at proteksiyon na damit kapag nakalantad sa sikat ng araw.,Pangunang Lunas,Pangkalahatang Antiseptiko,Tablets,Tagalog
Zineryt Lotion,43.5,Ginagamot ang acne sa pamamagitan ng pagbabawas ng pamamaga at pagpatay sa bakterya.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata at mucous membranes. Maaaring magdulot ng pagkatuyo o iritasyon. Kumunsulta sa doktor kung lumala ang kondisyon.,Pangangalaga sa Balat,Mga Impeksiyon,Lotion,Tagalog
Emilok 20mg Capsules,52.0,Pinapawi ang mga sintomas ng acid reflux at heartburn.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas. Ilayo sa mga bata.,Kalusugan ng Pagtunaw,Acid Reflux/Heartburn,Capsules,Tagalog
Studex Ear Piercing Care Gel,25.0,Tumutulong upang pangalagaan ang mga bagong butas na tainga.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata. Ilayo sa mga bata.,Pangunang Lunas,Pangangalaga sa Sugat,Gel,Tagalog
Moov Rapid Relief Ointment,11.0,Nagbibigay ng mabilis na pagpapaginhawa mula sa pananakit ng kalamnan at kasukasuan.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata. Itigil ang paggamit kung mangyari ang iritasyon. Ilayo sa mga bata.,Sakit at Lagnat,Pananakit ng Kalamnan,Cream/Ointment,Tagalog
Varden 10mg Tablets,142.5,Ginagamot ang erectile dysfunction.,Kumunsulta sa doktor bago gamitin. Huwag gamitin kung mayroon kang mga problema sa puso. Ilayo sa mga bata.,Kalusugan ng Babae at Sekswal,Erectile Dysfunction,Tablets,Tagalog
Varden 20mg Tablets,135.0,Ginagamot ang erectile dysfunction.,Kumonsulta sa doktor bago gamitin. Huwag gamitin kung mayroon kang problema sa puso. Ilayo sa mga bata.,Kalusugan ng Pambabae at Sekswal,Erectile Dysfunction,Mga Tabletas,Tagalog
Dr. Wound Gel,113.0,Nagpo-promote ng paggaling ng sugat at nagpapabawas ng peklat.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata. Ilayo sa mga bata.,Pangunang Lunas,Pangangalaga sa Sugat,Gel,Tagalog
Dr. Wound Gel,61.0,Nagpo-promote ng paggaling ng sugat at nagpapabawas ng peklat.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata. Ilayo sa mga bata.,Pangunang Lunas,Pangangalaga sa Sugat,Gel,Tagalog
Jointace Gel,69.0,Nagbibigay ng naka-target na suporta para sa malusog na mga kasukasuan at kalamnan.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata. Itigil ang paggamit kung may iritasyon na mangyari. Ilayo sa mga bata.,Sakit at Lagnat,Pananakit ng Kasukasuan,Gel,Tagalog
Maternea Elasticity Oil,105.0,Nagpapabuti ng pagka-elastiko ng balat at pumipigil sa stretch marks sa panahon ng pagbubuntis.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata. Ilayo sa mga bata.,Pangangalaga sa Balat,Peklat,Langis,Tagalog
Maternea Anti-Stretch Mark Body Cream,114.0,Nagpapabawas ng itsura ng stretch marks at nagpapabuti ng pagka-elastiko ng balat.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata. Ilayo sa mga bata.,Pangangalaga sa Balat,Peklat,Cream/Ointment,Tagalog
Dr. Scholl's Duragel Callus Cushion,24.0,Nagbibigay ng agarang at buong-araw na paggaling sa sakit mula sa mga callus.,"Kung magkaroon ng iritasyon o hindi komportable, itigil ang paggamit at kumonsulta sa iyong podiatrist o doktor.",Pangangalaga sa Balat,Pamamaga/Iritasyon,Cream/Ointment,Tagalog
Bell's Calamine Lotion,18.5,Nagpapaginhawa at nagpapagaan ng pangangati at iritasyon sa balat.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata. Ilayo sa mga bata.,Pangangalaga sa Balat,Pamamaga/Iritasyon,Likido,Tagalog
Gaviscon Infant Sachets,34.0,Pinapagaan ang infant reflux at hindi pagkatunaw ng pagkain.,Kumonsulta sa doktor kung magpatuloy ang mga sintomas.,Kalusugan ng Panunaw,Acid Reflux/Heartburn,Mga Sachet,Tagalog
Lorine Syrup,20.5,Pinapagaan ang mga sintomas ng allergy tulad ng pagbahing at sipon.,Maaaring magdulot ng antok. Kumonsulta sa doktor kung magpatuloy ang mga sintomas.,Mga Allergy at Sinus,Sipon (Rhinorrhea),Syrup/Likido,Tagalog
Ameya Hydrogen Peroxide Solution,12.0,Antiseptic para sa mga maliliit na hiwa at gasgas.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata.,Pangunang Lunas,Pangkalahatang Antiseptic,Solusyon,Tagalog
Elocom Mometasone Lotion,30.5,Nagpapabawas ng pamamaga at pangangati ng balat.,Para sa panlabas na paggamit lamang. Huwag gamitin sa sirang balat.,Pangangalaga sa Balat,Pamamaga/Iritasyon,Losyon,Tagalog
Zithromax Azithromycin Suspension,31.0,Antibiotic para sa mga impeksyon ng bakterya.,Inumin ayon sa reseta ng iyong doktor. Kumpletuhin ang buong kurso ng paggamot.,Pangunang Lunas,Pangkalahatang Antiseptic,Suspension,Tagalog
Zentel Albendazole Suspension,9.5,Ginagamot ang mga impeksyon sa bulate.,Inumin ayon sa direksyon ng iyong doktor. Hindi para sa paggamit sa mga buntis.,Pangunang Lunas,Pangkalahatang Antiseptic,Suspension,Tagalog
Metrolag Suspension,13.5,Ginagamot ang mga impeksyon ng bakterya at parasitiko.,Inumin ayon sa reseta ng iyong doktor. Iwasan ang alak sa panahon ng paggamot.,Pangunang Lunas,Pangkalahatang Antiseptic,Suspension,Tagalog
Flagyl Metronidazole Tablets,18.0,Ginagamot ang mga impeksyon ng bakterya at parasitiko.,Inumin ayon sa reseta ng iyong doktor. Iwasan ang alak sa panahon ng paggamot.,Pangunang Lunas,Pangkalahatang Antiseptic,Mga Tabletas,Tagalog
Lamisil Topical Spray,43.5,Ginagamot ang mga impeksyon ng fungal sa balat.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata.,Pangangalaga sa Balat,Mga Impeksyon,Spray,Tagalog
Zithromax Azithromycin Powder for Suspension,53.5,Antibiotic para sa mga impeksyon ng bakterya.,Inumin ayon sa reseta ng iyong doktor. Kumpletuhin ang buong kurso ng paggamot.,Pangunang Lunas,Pangkalahatang Antiseptic,Pulbos,Tagalog
Viagra Sildenafil Oral Tablets,279.5,Ginagamot ang erectile dysfunction.,"Kumonsulta sa doktor bago gamitin, lalo na kung mayroon kang problema sa puso.",Kalusugan ng Pambabae at Sekswal,Erectile Dysfunction,Mga Tabletas,Tagalog
Pantozol Pantoprazole Tablets,114.5,Nagpapabawas ng produksyon ng asido sa tiyan.,Inumin ayon sa direksyon ng iyong doktor. Maaaring magdulot ng mga side effect.,Kalusugan ng Panunaw,Acid Reflux/Heartburn,Mga Tabletas,Tagalog
Arcoxia 90mg Etoricoxib,144.0,Nagpapaginhawa ng sakit at pamamaga.,"Kumonsulta sa doktor kung mayroon kang mga problema sa puso, mataas na presyon ng dugo o mga isyu sa bato/atay.",Sakit at Lagnat,Pananakit ng Kasukasuan,Mga Tabletas,Tagalog
Mig Migraine Prevention,189.0,Nasal spray para sa pag-iwas sa migraine.,Kumonsulta sa doktor kung magpatuloy o lumala ang mga sintomas.,Sakit at Lagnat,Sakit ng Ulo,Spray,Tagalog
Heel Traumeel S,55.0,Homeopathic cream para sa pagpapaginhawa ng pananakit ng kalamnan at kasukasuan.,Kumonsulta sa isang propesyonal sa pangangalagang pangkalusugan kung lumala o magpatuloy ang mga sintomas.,Sakit at Lagnat,Pananakit ng Kalamnan,Cream/Pamahid,Tagalog
Motilium 1 mg/mL,16.5,Oral suspension upang maibsan ang pagduduwal at pagsusuka.,Huwag gamitin kung allergic sa anumang sangkap. Kumonsulta sa doktor kung magpatuloy ang mga sintomas.,Kalusugan ng Pagtunaw,Pagduduwal/Pagsusuka,Sirup/Likido,Tagalog
Nexcare Tegaderm Waterproof Transparent Dressings,18.9,Hindi tinatagusan ng tubig na benda upang protektahan ang mga sugat.,Tiyakin na malinis ang sugat bago ilapat. Palitan ang benda nang regular.,Pang-unang Lunas,Pangangalaga sa Sugat,Spray,Tagalog
Nexcare Adhesive Heat Patch,58.45,Heat patch para sa pagpapaginhawa ng sakit.,Huwag ilapat sa sirang balat. Tanggalin kung mangyari ang iritasyon sa balat.,Sakit at Lagnat,Pananakit ng Kalamnan,Patch/Plaaster,Tagalog
Blephademodex Eyelid Wipes,95.0,Mga panlinis ng talukap ng mata para sa demodex at kalinisan ng talukap ng mata.,Para sa panlabas na paggamit lamang. Iwasan ang direktang pagkakadikit sa mata.,Pangangalaga sa Mata,Mga Problema sa Talukap ng Mata,Patak,Tagalog
ASA-KOR 81 Low Dose Aspirin,28.0,Mababang dosis ng aspirin para sa mga matatanda.,Kumonsulta sa doktor bago gamitin kung mayroon kang mga karamdaman sa pagdurugo o mga ulser sa tiyan.,Sakit at Lagnat,Sakit ng Ulo,Mga Tabletas,Tagalog
Systane Complete Lubricant Eye Drops,55.0,Mga patak sa mata para sa pagpapaginhawa ng tuyong mata.,"Kung magpatuloy ang iritasyon, itigil ang paggamit at kumonsulta sa doktor.",Pangangalaga sa Mata,Tuyong Mata,Mga Patak sa Mata,Tagalog
Strepsils Extra Honey & Lemon,39.0,Mga lozenges para sa pagpapaginhawa ng namamagang lalamunan.,Huwag lumampas sa inirekumendang dosis. Kumonsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Mga Lozenges,Tagalog
Bronchostop Night Cough,59.0,Sirup para sa pagpapaginhawa ng tuyong ubo sa gabi.,Maaaring magdulot ng antok. Huwag gamitin kasama ng iba pang mga gamot sa ubo o sipon.,"Ubo, Sipon at Trangkaso",Ubo,Sirup/Likido,Tagalog
Varixinal Varicose Vein,30.0,Gel upang makatulong sa mga varicose veins.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata.,Pangangalaga sa Balat,Pamamaga/Iritasyon,Gel,Tagalog
Olfen Diclofenac Sodium 140mg Pain Relief Patch,45.5,Nagbibigay ng naka-target na pagpapaginhawa ng sakit gamit ang isang medicated patch.,Kumonsulta sa doktor kung mangyari ang iritasyon. Huwag gamitin sa sirang balat.,Sakit at Lagnat,Pananakit ng Kalamnan,Patch/Plaaster,Tagalog
Bepanthen Bepangel Wound Gel,38.0,Nagpo-promote ng epektibong paggaling ng sugat gamit ang isang nakapapawing paglambot na gel.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata.,Pang-unang Lunas,Pangangalaga sa Sugat,Gel,Tagalog
3M Nexcare Cold Hot Teddy,60.0,Nagbibigay ng nakapapawing paglambot na malamig o mainit na therapy para sa mga bata.,Huwag labis na painitin. Gamitin nang may pangangasiwa ng matanda.,Pang-unang Lunas,Pagpapaginhawa sa Paso,Cream/Pamahid,Tagalog
After Bite Xtra Soothing Sting Treatment,50.0,Nagpapaginhawa ng sakit at pangangati mula sa mga kagat at turok ng insekto.,Para sa panlabas na paggamit lamang. Ilayo sa abot ng mga bata.,Pang-unang Lunas,Panlaban sa Insekto,Cream/Pamahid,Tagalog
Max Zinc Oxide Tape 5cm,9.0,Nagbibigay ng suporta at proteksyon gamit ang isang malakas na adhesive tape.,Huwag ilapat sa sirang balat. Kumonsulta sa doktor kung mangyari ang iritasyon.,Pang-unang Lunas,Pangangalaga sa Sugat,Spray,Tagalog
Wortie Advanced Wart & Verruca Remover,147.0,Epektibong nag-aalis ng mga kulugo at verrucas gamit ang naka-target na pagyeyelo.,Sundin nang maingat ang mga tagubilin. Ilayo sa abot ng mga bata.,Pangangalaga sa Balat,Mga Impeksyon,Spray,Tagalog
PoxClin Cool Mousse Solution,60.0,Nagpapaginhawa ng pangangati at hindi komportable na nauugnay sa chickenpox.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata.,Kalusugan ng mga Bata,Iritasyon sa Balat,Spray,Tagalog
Max Smart First Aid Kit,11.0,Komprehensibong kit para sa paggamot ng mga menor de edad na pinsala at emerhensiya.,Ilayo sa abot ng mga bata. Suriin nang regular ang mga nilalaman.,Pang-unang Lunas,Pangangalaga sa Sugat,Cream/Pamahid,Tagalog
Medi First Aid Kit FM040,290.0,Mahalagang kit para sa mga pangunahing pangangailangan sa pangunang lunas sa bahay o sa paglalakbay.,Ilayo sa abot ng mga bata. Regular na suriin ang mga nilalaman.,Pangunang Lunas,Pangangalaga sa Sugat,Cream/Pamahid,Tagalog
MAX WOUND PLASTER,9.75,Pinoprotektahan ang mga sugat at nagtataguyod ng paggaling gamit ang isang plaster na nakakahinga.,Palitan ang plaster nang regular. Kumunsulta sa doktor kung lumala ang sugat.,Pangunang Lunas,Pangangalaga sa Sugat,Cream/Pamahid,Tagalog
Herbfit Hederin Herbal Cough Syrup,24.0,Pinapawi ang ubo gamit ang isang natural na herbal na formula.,Kumunsulta sa doktor kung nagpapatuloy ang ubo. Ilayo sa abot ng mga bata.,"Ubo, Sipon at Trangkaso",Ubo,Sirup/Likido,Tagalog
A RET CREAM,21.0,Pang-ibabaw na cream para sa paggamot ng acne at pagpapabuti ng tekstura ng balat.,Gamitin ayon sa direksyon ng isang manggagamot. Iwasan ang pagkakalantad sa araw.,Pangangalaga sa Balat,Peklat,Cream/Pamahid,Tagalog
Xpel Syrup,7.5,Pinapawi ang ubo at bara ng ilong.,Kumunsulta sa doktor kung nagpapatuloy ang mga sintomas. Maaaring magdulot ng antok.,"Ubo, Sipon at Trangkaso",Ubo,Sirup/Likido,Tagalog
Max Zinc Oxide Tape,3.0,Nagbibigay ng suporta at proteksyon para sa mga pinsala.,"Huwag ilapat nang direkta sa mga bukas na sugat. Kung mangyari ang iritasyon, itigil ang paggamit.",Pangunang Lunas,Pangangalaga sa Sugat,Ispra,Tagalog
Medi Gauze Bandage,2.0,Nagbibigay ng proteksyon at suporta sa sugat.,Sterile maliban kung ang pakete ay nabuksan o nasira.,Pangunang Lunas,Pangangalaga sa Sugat,Ispra,Tagalog
Hidrasec Capsules,28.5,Binabawasan ang mga sintomas ng pagtatae.,Kumunsulta sa doktor kung ang pagtatae ay nagpapatuloy nang higit sa 3 araw.,Kalusugan ng Pagtunaw,Pagtatae,Mga Tabletas,Tagalog
Max First Aid Kit,188.0,Komprehensibong kit para sa paggamot ng mga menor de edad na pinsala.,Ilayo sa abot ng mga bata. Tingnan ang mga indibidwal na babala ng produkto.,Pangunang Lunas,Pangangalaga sa Sugat,Mga Tabletas,Tagalog
Theye Insect Repellent Spray,69.0,Pinoprotektahan laban sa kagat ng lamok.,Iwasan ang pagkakadikit sa mga mata at bibig. Gumamit nang matipid sa mga bata.,Pangunang Lunas,Panlaban sa Insekto,Ispra,Tagalog
Fybogel Orange Sachets,50.11,Pinapawi ang pagtitibi at nagtataguyod ng regularidad.,Ihalo sa maraming tubig. Kumunsulta sa doktor kung nagpapatuloy ang pagtitibi.,Kalusugan ng Pagtunaw,Pagtitibi,Mga Sachet,Tagalog
Refresh Celluvisc Eye Gel,26.5,Pinapawi at pinapadulas ang tuyong mga mata.,"Para sa panlabas na paggamit lamang. Kung nagpapatuloy ang iritasyon, itigil ang paggamit.",Pangangalaga sa Mata,Tuyong mga Mata,Eye Gel,Tagalog
3M Toe Blister Bandages,23.1,Pinoprotektahan ang mga paltos sa mga daliri ng paa.,"Para sa panlabas na paggamit lamang. Kung nagpapatuloy ang iritasyon, itigil ang paggamit.",Pangunang Lunas,Pangangalaga sa Sugat,Ispra,Tagalog
Bens Max Insect Repellent Spray,64.5,Nagbibigay ng pangmatagalang proteksyon laban sa kagat ng insekto.,Iwasan ang pagkakadikit sa mga mata at bibig. Gumamit nang matipid sa mga bata.,Pangunang Lunas,Panlaban sa Insekto,Ispra,Tagalog
Fito Cream,66.0,Nagtataguyod ng paggaling ng mga menor de edad na iritasyon sa balat.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata.,Pangangalaga sa Balat,Pamamaga/Iritasyon,Cream/Pamahid,Tagalog
Wortie Liquid Wart Remover,79.0,Epektibong nag-aalis ng mga kulugo at verruca.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa malusog na balat.,Pangangalaga sa Balat,Mga Impeksyon,Likido,Tagalog
Optifarm Cleaning Wipes,21.0,Epektibong linisin ang mga ibabaw ng salamin gamit ang mga maginhawang wipe na ito.,Ilayo sa abot ng mga bata. Iwasan ang pagkakadikit sa mga mata. Madaling magliyab.,Pangunang Lunas,Pangkalahatang Antiseptiko,Ispra,Tagalog
Pic AquaBloc Post-Op Plaster,12.5,Hindi tinatagusan ng tubig na plaster para sa proteksyon ng sugat pagkatapos ng operasyon.,Sterile maliban kung ang pakete ay nasira o bukas.,Pangunang Lunas,Pangangalaga sa Sugat,Patch/Plaster,Tagalog
Medi Cotton Crepe Bandage,6.5,Nagbibigay ng suporta at compression para sa mga pinsala.,Huwag ilapat nang masyadong mahigpit. Kumunsulta sa doktor kung nagpapatuloy ang sakit.,Pangunang Lunas,Pangangalaga sa Sugat,Cream/Pamahid,Tagalog
Nutraderm Dry Skin Cream,45.0,Matinding nagmo-moisturize at pinapawi ang tuyong balat.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata. Itigil ang paggamit kung mangyari ang iritasyon.,Pangangalaga sa Balat,Pagkatuyo/Pagkabasag,Cream/Pamahid,Tagalog
Agiolax Granules,45.0,Natural na ginhawa mula sa pagtitibi.,Huwag gamitin kung mayroon kang sakit ng tiyan o pagduduwal. Kumunsulta sa doktor kung nagpapatuloy ang pagtitibi.,Kalusugan ng Panunaw,Pagtitibi,Mga Sachet,Tagalog
Optrex Eye Lotion,29.33,Pinapakalma at nililinis ang mga iritadong mata.,Para sa panlabas na paggamit lamang. Huwag gamitin kung ang solusyon ay nagbago ng kulay o naging malabo. Kumunsulta sa doktor kung nagpapatuloy ang iritasyon.,Pangangalaga sa Mata,Pamumula,Patak sa Mata,Tagalog
Uriage Bariederm Cica Dermatological Oil,137.0,Tumutulong upang maiwasan at mabawasan ang paglitaw ng mga stretch mark.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata. Itigil ang paggamit kung mangyari ang iritasyon.,Pangangalaga sa Balat,Pangangalaga sa Peklat,Langis,Tagalog
Similasan Earache Relief Ear Drops,62.0,Nagbibigay ng pansamantalang ginhawa mula sa mga sintomas ng sakit sa tainga.,Para sa panlabas na paggamit lamang. Kumunsulta sa doktor kung lumala ang mga sintomas o magpatuloy pagkatapos ng 48 oras.,Kalusugan ng mga Bata,Sakit sa Tainga,Mga Patak,Tagalog
Spirularin HS Herpes Lip Cream,87.0,Ginagamot at pinoprotektahan laban sa mga pagsiklab ng herpes lip na may SPF15.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata. Itigil ang paggamit kung mangyari ang iritasyon.,Pangangalaga sa Balat,Mga Impeksyon,Cream/Ointment,Tagalog
Green Cross Isopropyl Alcohol,26.5,Antiseptic disinfectant solution para sa pangkalahatang paggamit.,Madaling magliyab. Para sa panlabas na paggamit lamang. Ilayo sa abot ng mga bata. Iwasan ang pagkakadikit sa mga mata.,Pangunang Lunas,Pangkalahatang Antiseptic,Spray,Tagalog
Euphorbium Compositum Nasal Spray,65.0,Homeopathic na gamot para sa sinusitis at rhinitis relief.,Kumunsulta sa doktor kung lumala ang mga sintomas o magpatuloy. Ilayo sa abot ng mga bata.,Mga Allergy at Sinus,Presyon/Sakit sa Sinus,Spray,Tagalog
Clear Eyes Redness Relief,25.0,Mabilis na nagpapaginhawa sa pamumula at nagpapalma sa mga iritadong mata.,Para sa panlabas na paggamit lamang. Huwag gamitin kung ang solusyon ay nagbago ng kulay o naging malabo. Kumunsulta sa doktor kung nagpapatuloy ang iritasyon.,Pangangalaga sa Mata,Pamumula,Patak sa Mata,Tagalog
Prevalin Allergy,52.48,Nagpapaginhawa sa mga sintomas ng allergy sa pamamagitan ng pagharang sa mga allergens.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas. Iwasan ang pagkakadikit sa mga mata.,Mga Allergy at Sinus,Hay Fever (Allergic Rhinitis),Spray,Tagalog
Zecuf Cough Syrup Sugar Free,34.0,Sugar-free syrup para sa pagpapaginhawa ng ubo.,Kumunsulta sa doktor kung magpatuloy ang ubo. Ilayo sa abot ng mga bata.,"Ubo, Sipon at Trangkaso",Ubo,Syrup/Liquid,Tagalog
Allergodil Nasal Spray,35.0,Nagpapaginhawa sa mga sintomas ng allergy sa ilong.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas. Iwasan ang pagkakadikit sa mga mata.,Mga Allergy at Sinus,Baradong Ilong,Spray,Tagalog
Hirudoid Cream,19.5,Binabawasan ang pamamaga at nagtataguyod ng paggaling ng mga pasa at superficial thrombophlebitis.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata at mucous membranes.,Pangangalaga sa Balat,Pamamaga/Iritasyon,Cream/Ointment,Tagalog
Olfast,16.5,Tumutugon sa mga tiyak na pangangailangan sa kalusugan (kumunsulta sa package insert para sa mga detalye).,Kumunsulta sa doktor bago gamitin. Sundin nang maingat ang mga tagubilin sa dosis.,Mga Bitamina at Suplemento,Mga Herbal Supplement,Mga Sachet,Tagalog
Voltaren,33.0,Nagpapaginhawa sa sakit at pamamaga.,"Kumunsulta sa doktor bago gamitin, lalo na sa mga kondisyon sa bato o puso. Huwag lumampas sa inirekumendang dosis.",Sakit at Lagnat,Sakit sa Kalamnan,Mga Suplemento,Tagalog
Hydreye Hyaluronic Acid,40.0,Nagbibigay ng lubrication at hydration para sa mga tuyong mata.,Para sa ophthalmic na paggamit lamang. Huwag gamitin kung ang solusyon ay nagbago ng kulay o naging malabo.,Pangangalaga sa Mata,Tuyong Mata,Patak sa Mata,Tagalog
Dewax Ear Drops,4.5,Tumutulong sa pagtanggal ng ear wax.,Kumunsulta sa doktor kung mangyari ang sakit o iritasyon. Huwag gamitin kung ang eardrum ay butas.,Pangunang Lunas,Tulong sa Pandinig,Mga Patak,Tagalog
Pharmax Celera,16.0,Tumutugon sa mga tiyak na pangangailangan sa kalusugan (kumunsulta sa package insert para sa mga detalye).,Kumunsulta sa doktor bago gamitin. Sundin nang maingat ang mga tagubilin sa dosis.,Mga Bitamina at Suplemento,Mga Multivitamin,Mga Tablet,Tagalog
